Frequency,Power
10000,-74.82
10694,-75.24
11444,-75.59
12195,-75.9
12945,-76.14
13696,-76.3
14446,-76.38
15197,-76.43
15947,-76.48
16698,-76.59
17448,-76.78
18199,-77.08
18949,-77.47
19700,-77.91
20450,-78.38
21201,-78.83
21951,-79.23
22702,-79.58
23452,-79.89
24203,-80.16
24953,-80.41
25704,-80.65
26454,-80.91
27205,-81.18
27956,-81.48
28706,-81.79
29457,-82.1
30281,-82.39
32536,-82.65
34790,-82.86
37045,-83.01
39299,-83.09
41554,-83.11
43808,-83.06
46062,-82.98
48317,-82.86
50571,-82.73
52826,-82.58
55080,-82.44
57335,-82.29
59589,-82.15
61844,-82.01
64098,-81.86
66353,-81.72
68607,-81.58
70862,-81.43
73116,-81.29
75371,-81.14
77625,-81
79879,-80.87
82134,-80.76
84388,-80.66
86643,-80.58
88897,-80.53
91152,-80.52
93406,-80.54
95661,-80.6
97915,-80.7
100000,-80.85
106935,-81.05
114440,-81.31
121946,-81.6
129451,-81.95
136956,-82.32
144461,-82.72
151967,-83.13
159472,-83.53
166977,-83.91
174482,-84.28
181987,-84.62
189493,-84.95
196998,-85.29
204503,-85.65
212008,-86.04
219514,-86.47
227019,-86.94
234524,-87.44
242029,-87.94
249535,-88.44
257040,-88.92
264545,-89.37
272050,-89.81
279555,-90.22
287061,-90.63
294566,-91.05
302812,-91.48
325357,-91.94
347901,-92.41
370446,-92.91
392991,-93.42
415535,-93.95
438080,-94.49
460625,-95.04
483169,-95.59
505714,-96.13
528259,-96.66
550803,-97.17
573348,-97.67
595893,-98.15
618438,-98.61
640982,-99.04
663527,-99.46
686072,-99.86
708616,-100.24
731161,-100.62
753706,-100.99
776250,-101.35
798795,-101.72
821340,-102.08
843884,-102.44
866429,-102.81
888974,-103.2
911518,-103.59
934063,-104.02
956608,-104.47
979152,-104.97
1000000,-105.5
1069352,-106.07
1144404,-106.68
1219457,-107.31
1294509,-107.96
1369561,-108.61
1444613,-109.26
1519666,-109.9
1594718,-110.51
1669770,-111.1
1744822,-111.66
1819875,-112.18
1894927,-112.65
1969979,-113.07
2045032,-113.44
2120084,-113.77
2195136,-114.06
2270188,-114.33
2345241,-114.6
2420293,-114.91
2495345,-115.27
2570397,-115.7
2645450,-116.18
2720502,-116.72
2795554,-117.29
2870606,-117.88
2945659,-118.48
3028119,-119.06
3253566,-119.64
3479013,-120.2
3704460,-120.76
3929907,-121.31
4155353,-121.85
4380800,-122.39
4606247,-122.93
4831694,-123.46
5057141,-123.97
5282587,-124.48
5508034,-124.97
5733481,-125.43
5958928,-125.88
6184375,-126.3
6409821,-126.7
6635268,-127.09
6860715,-127.44
7086162,-127.78
7311608,-128.09
7537055,-128.38
7762502,-128.64
7987949,-128.87
8213396,-129.1
8438842,-129.31
8664289,-129.52
8889736,-129.75
9115183,-130.01
9340630,-130.3
9566076,-130.62
9791523,-130.98
10000000,-131.37
10693520,-131.78
11444043,-132.19
12194565,-132.6
12945088,-132.99
13695610,-133.36
14446132,-133.71
15196655,-134.03
15947178,-134.32
16697700,-134.58
17448222,-134.82
18198744,-135.02
18949268,-135.19
19699788,-135.34
20450312,-135.45
21200834,-135.53
21951356,-135.59
22701880,-135.65
23452402,-135.71
24202924,-135.78
24953446,-135.87
25703968,-135.98
26454492,-136.12
27205012,-136.28
27955536,-136.45
28706060,-136.62
29456580,-136.78
30281194,-136.93
32535662,-137.06
34790132,-137.17
37044600,-137.27
39299064,-137.36
41553536,-137.45
43808000,-137.52
46062472,-137.59
48316936,-137.66
50571408,-137.73
52825872,-137.79
55080340,-137.84
57334808,-137.89
59589276,-137.93
61843744,-137.96
64098208,-137.97
66352680,-137.98
68607144,-137.98
70861616,-137.97
73116080,-137.96
75370552,-137.94
77625016,-137.94
79879488,-137.94
82133952,-137.96
84388424,-137.98
86642888,-138.01
88897360,-138.04
91151824,-138.05
93406296,-138.06
95660760,-138.04
97915224,-138.02
100000000,-137.96
